notification_date,postcode,likely_source_of_infection,lhd_2010_code,lhd_2010_name,lga_code19,lga_name19
2020-03-05,2119,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14000,Hornsby (A)
2020-03-05,2580,Overseas,X830,Southern NSW,13310,Goulburn Mulwaree (A)
2020-03-05,2113,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-05,2232,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-06,2087,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-06,2234,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-06,2042,Overseas,X700,Sydney,17200,Sydney (C)
2020-03-06,2119,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14000,Hornsby (A)
2020-03-06,2115,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,16260,Parramatta (C)
2020-03-06,2119,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14000,Hornsby (A)
2020-03-06,2428,Overseas,X800,Hunter New England,15240,Mid-Coast (A)
2020-03-06,2145,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,12380,Cumberland (A)
2020-03-07,2091,Locally acquired - contact of a confirmed case and/or in a known cluster,,,,
2020-03-07,2777,Overseas,X750,Nepean Blue Mountains,10900,Blue Mountains (C)
2020-03-07,2122,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-07,2116,Locally acquired - source not identified,X740,Western Sydney,16260,Parramatta (C)
2020-03-07,2117,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,16260,Parramatta (C)
2020-03-07,2028,Interstate,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-07,2113,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-07,2117,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,16260,Parramatta (C)
2020-03-08,2115,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,16260,Parramatta (C)
2020-03-08,2761,Overseas,X740,Western Sydney,10750,Blacktown (C)
2020-03-08,2116,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,16260,Parramatta (C)
2020-03-08,2115,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,16260,Parramatta (C)
2020-03-08,2064,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,18250,Willoughby (C)
2020-03-08,2116,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,16260,Parramatta (C)
2020-03-08,2170,Overseas,X710,South Western Sydney,14900,Liverpool (C)
2020-03-08,2077,Locally acquired - source not identified,X760,Northern Sydney,14000,Hornsby (A)
2020-03-08,2163,Overseas,X710,South Western Sydney,12850,Fairfield (C)
2020-03-09,2043,Overseas,X700,Sydney,17200,Sydney (C)
2020-03-09,2047,Overseas,X700,Sydney,11520,Canada Bay (A)
2020-03-09,2010,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-09,2065,Overseas,X760,Northern Sydney,14700,Lane Cove (A)
2020-03-09,2765,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,10750,Blacktown (C)
2020-03-09,2769,Overseas,X740,Western Sydney,10750,Blacktown (C)
2020-03-09,2113,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-09,2046,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,11520,Canada Bay (A)
2020-03-10,2029,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-10,2800,Overseas,X850,Western NSW,16150,Orange (C)
2020-03-10,2096,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-10,2065,Overseas,X760,Northern Sydney,14700,Lane Cove (A)
2020-03-10,2777,Overseas,X750,Nepean Blue Mountains,10900,Blue Mountains (C)
2020-03-10,2204,Overseas,X700,Sydney,14170,Inner West (A)
2020-03-11,2027,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-11,2023,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-11,2126,Overseas,X760,Northern Sydney,14000,Hornsby (A)
2020-03-11,2170,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,14900,Liverpool (C)
2020-03-11,2120,Locally acquired - source not identified,X760,Northern Sydney,14000,Hornsby (A)
2020-03-11,2217,Locally acquired - source not identified,X720,South Eastern Sydney,10500,Bayside (A)
2020-03-11,2024,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-11,2230,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-11,2207,Overseas,X720,South Eastern Sydney,10500,Bayside (A)
2020-03-11,2800,Overseas,X850,Western NSW,16150,Orange (C)
2020-03-11,2257,Locally acquired - source not identified,X770,Central Coast,11650,Central Coast (C) (NSW)
2020-03-11,2021,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-11,2119,Locally acquired - source not identified,X760,Northern Sydney,14000,Hornsby (A)
2020-03-11,2800,Overseas,X850,Western NSW,16150,Orange (C)
2020-03-11,2110,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14100,Hunters Hill (A)
2020-03-11,2011,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-11,2766,Overseas,X740,Western Sydney,10750,Blacktown (C)
2020-03-11,2766,Overseas,X740,Western Sydney,10750,Blacktown (C)
2020-03-11,2020,Locally acquired - source not identified,X720,South Eastern Sydney,10500,Bayside (A)
2020-03-11,2114,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-12,2756,Locally acquired - contact of a confirmed case and/or in a known cluster,X750,Nepean Blue Mountains,13800,Hawkesbury (C)
2020-03-12,2120,Overseas,X760,Northern Sydney,14000,Hornsby (A)
2020-03-12,2570,Overseas,X710,South Western Sydney,11450,Camden (A)
2020-03-12,2566,Overseas,X710,South Western Sydney,11500,Campbelltown (C) (NSW)
2020-03-12,2456,Overseas,X820,Mid North Coast,11800,Coffs Harbour (C)
2020-03-12,2570,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11450,Camden (A)
2020-03-12,2570,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11450,Camden (A)
2020-03-12,2570,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11450,Camden (A)
2020-03-12,2011,Locally acquired - source not identified,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-12,2031,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-12,2170,Locally acquired - source not identified,X710,South Western Sydney,14900,Liverpool (C)
2020-03-12,2030,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-12,2028,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-12,2763,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,10750,Blacktown (C)
2020-03-12,2029,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-12,2127,Overseas,X740,Western Sydney,16260,Parramatta (C)
2020-03-12,2456,Overseas,X820,Mid North Coast,11800,Coffs Harbour (C)
2020-03-12,2122,Interstate,X760,Northern Sydney,16700,Ryde (C)
2020-03-12,2027,Locally acquired - source not identified,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-12,2046,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,11520,Canada Bay (A)
2020-03-12,2087,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-12,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-12,2027,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-13,2110,Locally acquired - source not identified,X760,Northern Sydney,14100,Hunters Hill (A)
2020-03-13,2207,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,10500,Bayside (A)
2020-03-13,2077,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14000,Hornsby (A)
2020-03-13,2010,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-13,2325,Locally acquired - source not identified,X800,Hunter New England,11720,Cessnock (C)
2020-03-13,2015,Overseas,X700,Sydney,17200,Sydney (C)
2020-03-13,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-13,2773,Overseas,X750,Nepean Blue Mountains,10900,Blue Mountains (C)
2020-03-13,2025,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-13,2756,Overseas,X750,Nepean Blue Mountains,13800,Hawkesbury (C)
2020-03-13,2011,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-13,2032,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-13,2224,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-13,2218,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,12930,Georges River (A)
2020-03-13,2576,Overseas,X710,South Western Sydney,18350,Wingecarribee (A)
2020-03-13,2128,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,16260,Parramatta (C)
2020-03-13,2090,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,15950,North Sydney (A)
2020-03-13,2769,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,10750,Blacktown (C)
2020-03-13,2034,Locally acquired - source not identified,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-13,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-13,2065,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14700,Lane Cove (A)
2020-03-13,2112,Locally acquired - source not identified,X760,Northern Sydney,16700,Ryde (C)
2020-03-13,2065,Overseas,X760,Northern Sydney,14700,Lane Cove (A)
2020-03-13,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-13,2207,Overseas,X720,South Eastern Sydney,10500,Bayside (A)
2020-03-13,2224,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-13,2022,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-13,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-13,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-13,2325,Locally acquired - contact of a confirmed case and/or in a known cluster,X800,Hunter New England,11720,Cessnock (C)
2020-03-13,2151,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,16260,Parramatta (C)
2020-03-14,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-14,2127,Interstate,X740,Western Sydney,16260,Parramatta (C)
2020-03-14,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-14,2125,Locally acquired - source not identified,X740,Western Sydney,17420,The Hills Shire (A)
2020-03-14,2141,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,12380,Cumberland (A)
2020-03-14,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-14,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-14,2760,Locally acquired - contact of a confirmed case and/or in a known cluster,X750,Nepean Blue Mountains,16350,Penrith (C)
2020-03-14,9990,Overseas,,,,
2020-03-14,2068,Overseas,X760,Northern Sydney,18250,Willoughby (C)
2020-03-14,2145,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,12380,Cumberland (A)
2020-03-14,2430,Locally acquired - source not identified,X800,Hunter New England,15240,Mid-Coast (A)
2020-03-14,2031,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-14,2517,Overseas,X730,Illawarra Shoalhaven,18450,Wollongong (C)
2020-03-14,2325,Locally acquired - contact of a confirmed case and/or in a known cluster,X800,Hunter New England,11720,Cessnock (C)
2020-03-14,2306,Locally acquired - source not identified,X800,Hunter New England,14650,Lake Macquarie (C)
2020-03-14,2428,Overseas,X800,Hunter New England,15240,Mid-Coast (A)
2020-03-14,2025,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-14,2093,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-14,2008,Locally acquired - source not identified,X700,Sydney,17200,Sydney (C)
2020-03-14,2010,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-14,2230,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-14,2760,Overseas,X750,Nepean Blue Mountains,16350,Penrith (C)
2020-03-14,2479,Overseas,X810,Northern NSW,11350,Byron (A)
2020-03-14,2041,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,14170,Inner West (A)
2020-03-15,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-15,2099,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-15,2031,Overseas,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-15,2193,Locally acquired - source not identified,X700,Sydney,11570,Canterbury-Bankstown (A)
2020-03-15,2160,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,12380,Cumberland (A)
2020-03-15,2031,Overseas,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-15,2089,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,15950,North Sydney (A)
2020-03-15,2031,Overseas,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-15,2230,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-15,2216,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,10500,Bayside (A)
2020-03-15,2132,Overseas,X700,Sydney,11300,Burwood (A)
2020-03-15,2025,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-15,2204,Overseas,X700,Sydney,14170,Inner West (A)
2020-03-15,2000,Locally acquired - source not identified,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-15,2122,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-15,4566,Interstate,,,,
2020-03-15,2125,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,17420,The Hills Shire (A)
2020-03-15,2093,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-15,2204,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,14170,Inner West (A)
2020-03-15,2122,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-15,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-15,2089,Overseas,X760,Northern Sydney,15950,North Sydney (A)
2020-03-15,2250,Overseas,X770,Central Coast,11650,Central Coast (C) (NSW)
2020-03-15,2029,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-15,2191,Locally acquired - source not identified,X700,Sydney,11570,Canterbury-Bankstown (A)
2020-03-15,2015,Overseas,X700,Sydney,17200,Sydney (C)
2020-03-15,2110,Overseas,X760,Northern Sydney,14100,Hunters Hill (A)
2020-03-15,2228,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-15,2080,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14000,Hornsby (A)
2020-03-15,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-15,2070,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-15,2575,Overseas,X710,South Western Sydney,18350,Wingecarribee (A)
2020-03-15,2097,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-15,2125,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,17420,The Hills Shire (A)
2020-03-15,2075,Overseas,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-16,2206,Overseas,X700,Sydney,11570,Canterbury-Bankstown (A)
2020-03-16,2233,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-16,2064,Overseas,X760,Northern Sydney,18250,Willoughby (C)
2020-03-16,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-16,2022,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-16,2064,Overseas,X760,Northern Sydney,18250,Willoughby (C)
2020-03-16,2281,Overseas,X800,Hunter New England,14650,Lake Macquarie (C)
2020-03-16,2104,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-16,2516,Overseas,X730,Illawarra Shoalhaven,18450,Wollongong (C)
2020-03-16,2767,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,10750,Blacktown (C)
2020-03-16,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-16,2011,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-16,2097,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-16,2230,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-16,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-16,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-16,2067,Overseas,X760,Northern Sydney,18250,Willoughby (C)
2020-03-16,2093,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-16,2110,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14100,Hunters Hill (A)
2020-03-16,2069,Overseas,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-16,2010,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-16,2577,Overseas,X710,South Western Sydney,18350,Wingecarribee (A)
2020-03-16,2118,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,16260,Parramatta (C)
2020-03-16,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-16,2121,Overseas,X760,Northern Sydney,16260,Parramatta (C)
2020-03-16,2533,Overseas,X730,Illawarra Shoalhaven,14400,Kiama (A)
2020-03-16,2229,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-16,2025,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-16,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-16,2481,Overseas,X810,Northern NSW,11350,Byron (A)
2020-03-16,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-16,2230,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-16,2575,Overseas,X710,South Western Sydney,18350,Wingecarribee (A)
2020-03-16,2095,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-16,2040,Overseas,X700,Sydney,14170,Inner West (A)
2020-03-16,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-16,2260,Locally acquired - contact of a confirmed case and/or in a known cluster,X770,Central Coast,11650,Central Coast (C) (NSW)
2020-03-16,2142,Locally acquired - source not identified,X740,Western Sydney,12380,Cumberland (A)
2020-03-16,2099,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-16,2298,Overseas,X800,Hunter New England,15900,Newcastle (C)
2020-03-16,2158,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,17420,The Hills Shire (A)
2020-03-16,2325,Overseas,X800,Hunter New England,11720,Cessnock (C)
2020-03-16,2010,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-16,2171,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,14900,Liverpool (C)
2020-03-16,2018,Overseas,X700,Sydney,17200,Sydney (C)
2020-03-16,2225,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-16,2230,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-16,2099,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-16,2425,Overseas,X800,Hunter New England,15240,Mid-Coast (A)
2020-03-16,2535,Overseas,X730,Illawarra Shoalhaven,16950,Shoalhaven (C)
2020-03-17,2010,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-17,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-17,2325,Locally acquired - contact of a confirmed case and/or in a known cluster,X800,Hunter New England,11720,Cessnock (C)
2020-03-17,2577,Overseas,X710,South Western Sydney,18350,Wingecarribee (A)
2020-03-17,2010,Locally acquired - source not identified,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-17,2019,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,10500,Bayside (A)
2020-03-17,2061,Overseas,X760,Northern Sydney,15950,North Sydney (A)
2020-03-17,2095,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-17,2026,Interstate,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-17,2231,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-17,2283,Locally acquired - contact of a confirmed case and/or in a known cluster,X800,Hunter New England,14650,Lake Macquarie (C)
2020-03-17,2042,Overseas,X700,Sydney,17200,Sydney (C)
2020-03-17,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-17,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-17,2010,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-17,2021,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-17,2011,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-17,2122,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-17,2230,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-17,2036,Overseas,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-17,2323,Overseas,X800,Hunter New England,15050,Maitland (C)
2020-03-17,2567,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11450,Camden (A)
2020-03-17,2567,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11450,Camden (A)
2020-03-17,2557,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11450,Camden (A)
2020-03-17,2567,Overseas,X710,South Western Sydney,11450,Camden (A)
2020-03-17,2010,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-17,2011,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-17,2760,Locally acquired - source not identified,X750,Nepean Blue Mountains,16350,Penrith (C)
2020-03-17,2763,Overseas,X740,Western Sydney,10750,Blacktown (C)
2020-03-17,2119,Locally acquired - source not identified,X760,Northern Sydney,14000,Hornsby (A)
2020-03-17,2072,Locally acquired - source not identified,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-17,2795,Overseas,X850,Western NSW,10470,Bathurst Regional (A)
2020-03-17,2747,Overseas,X750,Nepean Blue Mountains,16350,Penrith (C)
2020-03-17,2749,Overseas,X750,Nepean Blue Mountains,16350,Penrith (C)
